Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Cárcamo A., Fortuny J., Fuentealba C.","57205321934;56463077700;57191838875;","The emergent models in linear algebra: An example with spanning set and span",2018,"Teaching Mathematics and its Applications","37","4",,"202","217",,7,"10.1093/teamat/hrx015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061236699&doi=10.1093%2fteamat%2fhrx015&partnerID=40&md5=550db948e435ca5863c54ae26a1d6af6","Centro de Docencia de Ciencias Básicas para Ingeniería, Universidad Austral de Chile, Valdivia, Chile; Departament de Didàctica de la Matemàtica i de les Ciències Experimentals, Universitat Autònoma de Barcelona, Bellaterra, Spain","Cárcamo, A., Centro de Docencia de Ciencias Básicas para Ingeniería, Universidad Austral de Chile, Valdivia, Chile, Departament de Didàctica de la Matemàtica i de les Ciències Experimentals, Universitat Autònoma de Barcelona, Bellaterra, Spain; Fortuny, J., Departament de Didàctica de la Matemàtica i de les Ciències Experimentals, Universitat Autònoma de Barcelona, Bellaterra, Spain; Fuentealba, C., Centro de Docencia de Ciencias Básicas para Ingeniería, Universidad Austral de Chile, Valdivia, Chile, Departament de Didàctica de la Matemàtica i de les Ciències Experimentals, Universitat Autònoma de Barcelona, Bellaterra, Spain","A continuing challenge in mathematics education at the university level is how to create learning environments that give students the opportunity to progress from their informal ways of reasoning to more formal ways of reasoning. This article shows how the emergent models heuristic (Gravemeijer, 1999, Math. Think. Learn, 1, 155-177) provides this opportunity to first-year university students, specifically for them to construct the Linear Algebra concepts of spanning set and span. For this, a design-based research methodology was used. A hypothetical learning trajectory (HLT) was applied, created within the framework of this heuristic. The results provide evidence that the emergent models heuristic support the construction of these concepts of Linear Algebra. Moreover, useful tips are given for using this heuristic to construct mathematical concepts. © The Author 2017. Published by Oxford University Press on behalf of The Institute of Mathematics and its Applications. All rights reserved.",,"Computer aided instruction; Education computing; Students; Design-based research; First year; Learn+; Learning environments; Learning trajectories; Mathematics education; Research methodologies; Spanning sets; University levels; University students; Linear algebra",,,,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-85061236699
"Morfín J.L.C., Jiménez J.P.","55183581300;57205447638;","Numerical notions of Mexican kindergarten pupils [Nociones numéricas de alumnos mexicanos de tercero de preescolar]",2018,"Educacion Matematica","30","3",,"101","121",,2,"10.24844/EM3003.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060033506&doi=10.24844%2fEM3003.05&partnerID=40&md5=6ba8616537b25646cacdd223e4e06e99","Universidad Pedagógica Nacional, Ajusco, Mexico; Universidad Pedagógica Nacional, Ajusco, Mexico","Morfín, J.L.C., Universidad Pedagógica Nacional, Ajusco, Mexico; Jiménez, J.P., Universidad Pedagógica Nacional, Ajusco, Mexico","We analyze a study in which the numerical skills of a class of Mexican kindergarten students were assessed (N=22). They were the children of families living in poverty. Findings show that almost all the children were lagging behind, when considering the mathematical learning goals for kindergarten in the Mexican curriculum. We discuss the implications of our findings for the definition of a pedagogical agenda that could effectively support the mathematical development of children like those that participated in the study, and how this agenda would differ from the current curriculum. © 2018 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.","Kindergarten; Mathematical Development; Numeration",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85060033506
"Martínez H.A.A., Illanes M.K.G., Pérez M.L.R.","55978648200;57205424617;56341218100;","Evaluation of the learning of the statistics oriented to projects in engineering students [Evaluación del aprendizaje de la estadística orientada a proyectos en estudiantes de ingeniería]",2018,"Educacion Matematica","30","3",,"151","183",,,"10.24844/EM3003.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059983889&doi=10.24844%2fEM3003.07&partnerID=40&md5=897716389edd7ff563ed738e21b04ed9","Universidad Católica de la Santísima Concepción, Chile; Universidad San Sebastián, Chile","Martínez, H.A.A., Universidad Católica de la Santísima Concepción, Chile; Illanes, M.K.G., Universidad San Sebastián, Chile; Pérez, M.L.R., Universidad Católica de la Santísima Concepción, Chile",[No abstract available],,,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85059983889
"Barrera-Mora F., Reyes-Rodríguez A., Mendoza-Hernández J.G.","6506131255;56013568900;57205427678;","Mental calculation strategies for addition and subtraction developed by middle school students [Estrategias de cálculo mental para sumas y restas desarrolladas por estudiantes de secundaria]",2018,"Educacion Matematica","30","3",,"122","150",,,"10.24844/EM3003.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059980598&doi=10.24844%2fEM3003.06&partnerID=40&md5=14b04ec8fab371f3599f5e48631a0a2a","Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico; Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico; Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico","Barrera-Mora, F., Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico; Reyes-Rodríguez, A., Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico; Mendoza-Hernández, J.G., Universidad Autónoma del Estado de Hidalgo, Área Académica de Matemáticas y Física, Mexico","Mental calculation strategies play an important role in the development of students’ number sense. In this regard, we sought to determine how students of a public middle school (distance education program), located in a rural community in the state of Hidalgo, Mexico, can develop mental calculation strategies when performing tasks involving addition and subtraction, in a shopping context. Eight different strategies were identified, some of which used fantasy money as a representation system that helped students to decompose quantities. They referred to strategies used by people, without schooling, when they receiving money back after paying for a purchase in the market. Strategies such as removing one to the minuend in a subtraction with regrouping also appeared, to obtain one addition without regrouping. That is, we identified a transfer of mental calculation strategies to paper and pencil scenarios, which facilitate calculations to solve a problem. This is an indicator of creativity and understanding of numbers and operations. © 2018 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.","Addition and subtraction; Mental calculation; Number sense; Tasks in a shopping context",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85059980598
"Catricheo H.R., Godino J.D., Cezón P.A.","57205424770;8969497100;54410144000;","Developing statistical knowledge in prospective primary school teachers through a data analysis project: Possibilities and limitations [Desarrollo de conocimientos estadísticos en futuros profesores de educación primaria a través de un proyecto de análisis de datos: Posibilidades y limitaciones]",2018,"Educacion Matematica","30","3",,"83","100",,1,"10.24844/EM3003.04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059979070&doi=10.24844%2fEM3003.04&partnerID=40&md5=9f6d19f5b690b1cfae7b8b220e8e2326","Campus Villarrica, Pontificia Universidad Católica de Chile, Chile; Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Universidad de Granada, Spain; Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Universidad de Granada, Spain","Catricheo, H.R., Campus Villarrica, Pontificia Universidad Católica de Chile, Chile; Godino, J.D., Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Universidad de Granada, Spain; Cezón, P.A., Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Universidad de Granada, Spain","This study describes the results of implementing a data analysis project to develop statistical knowledge in prospective primary school teachers. The project was applied to a group of 70 students distributed in 16 groups. From the reports prepared, we analyzed the competition achieved, the type of responses and the errors manifested. The analysis clearly shows certain achievements of the constructivist approach applied, and also some limitations on the learning levels. Although students prepare some answers with a degree of autonomy, their justifications are based on aspects of common statistical content knowledge without actually applying more advanced thinking, required by the problem posed. This suggests that the constructivist didactic approach should be complemented with moments of knowledge transmission to overcome blocking situations generated by the lack of previous knowledge. © 2018 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.","Advanced knowledge; Common; Constructivist teaching; Statistics; Teacher education; Teaching by projects",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85059979070
"Arenas C.B., Rico S.E.P., Zavaleta J.G.M.","57202157462;57194448102;54895815300;","Analysis of arising difficulties when solving variation problems [Análisis de dificultades surgidas al resolver problemas de variación]",2018,"Educacion Matematica","30","3",,"297","323",,1,"10.24844/EM3003.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059979050&doi=10.24844%2fEM3003.12&partnerID=40&md5=926ec0f1fa872a51a54a3c72f3e02f36","Grupo de Educación Matemática de la UIS, Universidad Industrial de Santander, Colombia; Universidad Industrial de Santander, Colombia; Instituto Politécnico Nacional, Programa de Matemática Educativa, Cicata-Legaria, Colombia","Arenas, C.B., Grupo de Educación Matemática de la UIS, Universidad Industrial de Santander, Colombia; Rico, S.E.P., Universidad Industrial de Santander, Colombia; Zavaleta, J.G.M., Instituto Politécnico Nacional, Programa de Matemática Educativa, Cicata-Legaria, Colombia","Failing in Differential Calculus courses of the first cycle in university has been reported internationally (Artigue, 1995, Diaz, 2009) as a big problem, assuming as one of the causes the lack of knowledge in mathematics that graduated high school students have. In this work we report elements of a research focused on the difficulties that first year university students face when they solve problems that involve variation situations. Specifically, difficulties associated to the mathematical process development, comparison and training of procedures (MEN, 1998). At first, we analyzed a diagnostic test of a pre-calculus course in which newly enrolled university students participated. It was found that students have difficulties to establish relationships and differences between different notations of real numbers and to decide on their use in a given situation. Further, the difficulties of using the representations and recognizing the effect of using one representation or another in the resolution of the problem were evident. The identification and characterization of these difficulties may allow to calculus teachers to take important decisions about their didactic planning. © 2018 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.","Difficulties; Procedures; Solving problems; Variation; Variational thinking",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85059979050
"Ruiz Y.C., Rizo F.M.","57205429308;56002702400;","Evaluate to learn: Make the task more complex for students [Evaluar para aprender: Hacer más compleja la tarea a los alumnos]",2018,"Educacion Matematica","30","3",,"211","246",,,"10.24844/EM3003.09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059972118&doi=10.24844%2fEM3003.09&partnerID=40&md5=c90ece85550abacaf5fe9c2c9d1459b6","Instituto de Educación de Aguascalientes, Mexico; Departamento de Educación, Universidad Autónoma de Aguascalientes, Mexico","Ruiz, Y.C., Instituto de Educación de Aguascalientes, Mexico; Rizo, F.M., Departamento de Educación, Universidad Autónoma de Aguascalientes, Mexico","The purpose of this study is to characterize teaching-assessment practices (as two inseparable elements), based on the cognitive requirement of the tasks proposed by teachers to their students regarding a mathematical content. In this qualitative study, 12 math lessons by two elementary school teachers were observed and videotaped in Aguascalientes, Mexico; the record was made in a guiding instrument designed for this study. The observation of the practices showed that, although the tasks proposed to students based on textbooks and other materials have a high mathematical potential, it is difficult for teachers to maintain high levels of cognitive demand during the development of the classes. © 2018 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.","Cognitive requirement; Formative evaluation; Mathematical tasks; Teaching of mathematics",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85059972118
"Pertuz V.P., Pérez A.B., Vega A.L.","57189237593;57189246532;57205337115;","Scientific visibility of colombian universities in researchGate [Visibilidad científica de las universidades colombianas en researchGate]",2018,"Formacion Universitaria","11","6",,"17","28",,2,"10.4067/S0718-50062018000600017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059646007&doi=10.4067%2fS0718-50062018000600017&partnerID=40&md5=aeecb09a3e5f3ff5edb681348f8dc144","Universidad de Santander, Facultad de Ingenierías, Grupo de Investigación Nuevas Tecnologías-UDES, Valledupar, Colombia","Pertuz, V.P., Universidad de Santander, Facultad de Ingenierías, Grupo de Investigación Nuevas Tecnologías-UDES, Valledupar, Colombia; Pérez, A.B., Universidad de Santander, Facultad de Ingenierías, Grupo de Investigación Nuevas Tecnologías-UDES, Valledupar, Colombia; Vega, A.L., Universidad de Santander, Facultad de Ingenierías, Grupo de Investigación Nuevas Tecnologías-UDES, Valledupar, Colombia","The paper aims to compare the scientific visibility of Colombian universities based on the ResearchGate indicator (RGScore). The article analyzes the 150 Colombian universities that have a ResearchGate profile of the 305 registered in the National Information System of Higher Education (SNIES). The top 10 universities with the best positions of RGScore are: Universidad Nacional de Colombia, Universidad de Antioquia, Universidad de Los Andes, Universidad del Valle, Pontificia Universidad Javeriana, Universidad Industrial de Santander, Universidad del Norte, Universidad de Cartagena, Universidad de la Sabana y Universidad Pontificia Bolivariana. These are institutions accredited in High Quality by the Colombian government. Additionally, there is a weak positive correlation between the number of Groups of Research, Technological Development and Innovation classified and recognized by Colciencias per regions and average RGScore of the Universities in each Colombian Department. © 2018 Formación Universitaria.El artículo compara la visibilidad científica de las universidades colombianas a partir del indicador de ResearchGate (RGScore). El artículo analiza las 150 universidades colombianas que cuenta con perfil en ResearchGate de las 305 registradas en el Sistema Nacional de Información de la Educación Superior (SNIES). Las 10 universidades con mayor RGScore son: Universidad Nacional de Colombia, Universidad de Antioquia, Universidad de Los Andes, Universidad del Valle, Pontificia Universidad Javeriana, Universidad Industrial de Santander, Universidad del Norte, Universidad de Cartagena, Universidad de la Sabana y Universidad Pontificia Bolivariana; instituciones acreditadas en Alta Calidad por el estado colombiano. Adicionalmente, existe una correlación positiva débil entre el número de Grupos de Investigación, Desarrollo Tecnológico e Innovación clasificados y reconocidos por Colciencias por departamento y promedio RGScore de las Universidades por Departamento en Colombia. © 2018 Formación Universitaria.","ResearchGate; ResearchGate; RGScore; RGScore; Visibilidad universidades colombianas; Visibility colombian universities",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059646007
"Rodriguez A.B., Espinoza J., Ramirez L.J., Ganga A.","56972626000;57194555741;56819233800;57194497848;","University dropout: New analysis methodology [Deserción universitaria: Nuevo análisis metodológico]",2018,"Formacion Universitaria","11","6",,"107","118",,4,"10.4067/S0718-50062018000600107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059639138&doi=10.4067%2fS0718-50062018000600107&partnerID=40&md5=702270a5ff98ee3809781d57d7c9cbc1","Univ. de Santiago de Chile, Depto de Tecnología Industrial, Grupo de Investigación en Nuevas Tecnologías (GINT), Santiago, Chile; Universidad Militar de Nueva Granada, Facultad de Ingeniería, Grupo de Investigación TIGUM, Bogotá, Colombia; Universidad Santiago de Chile, Departamento de Ciencia y Tecnología de los Alimentos, Laboratorio de Biotecnología y Microbiología Aplicada (LAMAP), Santiago, Chile","Rodriguez, A.B., Univ. de Santiago de Chile, Depto de Tecnología Industrial, Grupo de Investigación en Nuevas Tecnologías (GINT), Santiago, Chile; Espinoza, J., Univ. de Santiago de Chile, Depto de Tecnología Industrial, Grupo de Investigación en Nuevas Tecnologías (GINT), Santiago, Chile; Ramirez, L.J., Universidad Militar de Nueva Granada, Facultad de Ingeniería, Grupo de Investigación TIGUM, Bogotá, Colombia; Ganga, A., Universidad Santiago de Chile, Departamento de Ciencia y Tecnología de los Alimentos, Laboratorio de Biotecnología y Microbiología Aplicada (LAMAP), Santiago, Chile","This article proposes a new indicator to measure desertion from university programs classified by departments and by careers, indicator called Geometric Dropout Index. In addition, a parameter called permanence is defined, which measures the percentage that the cohort represents in each year of permanence in the system. The results indicate that the department has a steady growing dropout, which worries the directors of the institution. All programs have a dropout that tends to grow except for career C1 and C3. It is necessary to review the results and reflect on the upward trend of the IGD and analyze its causes for the development of policies that reverse this trend. © 2018 Formación Universitaria.El presente artículo propone un nuevo indicador para medir la deserción por departamento y por carrera de programas universitarios, denominado índice Geométrico de Deserción. Además, se define un parámetro denominado permanencia, que mide el porcentaje que representa la cohorte en cada año de permanencia en el sistema. Los resultados indican que el departamento tiene una deserción en crecimiento sostenido, lo que preocupa a los directivos de la institución. Todas las carreras tienen una deserción que tiende al crecimiento excepto las carreras C1 y C3. Es necesario revisar los resultados y reflexionar sobre la tendencia al alza del IGD y analizar sus causas, para el desarrollo de políticas que logren revertir esta tendencia. © 2018 Formación Universitaria.","Calidad de la enseñanza, retención, gestión educativa; Deserción; Dropout; Educación; Education; Education management; Quality of teaching; Retention",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059639138
"Martínez-Palmera O., Combita-Niño H., De-La-Hoz-Franco E.","57205338152;57194230481;57204111690;","Mediation of virtual learning objects in the development of mathematical competences in engineering students [Mediación de los objetos virtuales de aprendizaje en el desarrollo de competencias matemáticas en estudiantes de ingeniería]",2018,"Formacion Universitaria","11","6",,"63","74",,6,"10.4067/S0718-50062018000600063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059635813&doi=10.4067%2fS0718-50062018000600063&partnerID=40&md5=93ea693b60debb59a660b76b6ff6d024","Departamento de Humanidades, Universidad de la Costa, Colombia; Departamento de Ciencias de la Computación y Electrónica, CUC, Colombia","Martínez-Palmera, O., Departamento de Humanidades, Universidad de la Costa, Colombia; Combita-Niño, H., Departamento de Ciencias de la Computación y Electrónica, CUC, Colombia; De-La-Hoz-Franco, E., Departamento de Ciencias de la Computación y Electrónica, CUC, Colombia","In the present article the contribution of Virtual Learning Objects (VLO) to the development of mathematical competences in engineering students from two universities in Barranquilla-Colombia is analyzed. A diagnostic test was applied to 120 students represented in two groups (control and experimental). During the academic semester, VLO were incorporated in the differential-calculus subject. At the end of the period a test that allowed to compare the mathematical knowledge was applied. The students of the experimental group developed mathematical skills 25.9% above the control group, and 55% consider that Virtual Learning Objects are effective tools to improve differential-calculus knowledge. It was concluded that the incorporation of OVA to teaching-learning process with the teacher's guidance, motivates the students to learn, enhances the mathematical skills of interpretation, mathematical situations modeling and execution of procedures to solve different differential calculus problems. © 2018 Formación Universitaria.El presente artículo analiza la contribución de los Objetos Virtuales de Aprendizaje (OVA) al desarrollo de competencias matemáticas en estudiantes de ingeniería de dos universidades de Barranquilla-Colombia. Se aplicó una prueba diagnóstica a 120 estudiantes representados en dos grupos (control y experimental). Durante un semestre académico se incorporó OVA en el área de cálculo diferencial. Al final del periodo fue aplicada una evaluación que permitió comparar el grado de apropiación de conocimientos matemáticos. Los estudiantes del grupo experimental desarrollaron habilidades matemáticas un 25.9% por encima del grupo control y el 55%, consideran que son herramientas eficaces para reforzar conocimientos de cálculo diferencial. Se concluyó que la incorporación de OVA al proceso de enseñanza-aprendizaje con la orientación del docente, motiva a los estudiantes por aprender, potencia las habilidades matemáticas de interpretación, modelación de situaciones matemáticas y ejecución de procedimientos para dar solución a distintos problemas de cálculo diferencial. © 2018 Formación Universitaria.","Competencias matemáticas; Cálculo diferencial; Didactic mediation; Differential calculus; Engineering; Ingeniería; Learning objects; Mathematical competences; Mediación didáctica; Objeto virtual de aprendizaje",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059635813
