Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Rosas R., Nussbaum M., Cumsille P., Marianov V., Correa M., Flores P., Grau V., Lagos F., López X., López V., Rodriguez P., Salinas M.","36849561400;7102451228;36946034700;6701317875;35973712500;57225331339;36881679900;57204995899;36084970600;15019301400;57197027341;7006754365;","Beyond Nintendo: Design and assessment of educational video games for first and second grade students",2003,"Computers and Education","40","1",,"71","94",,428,"10.1016/S0360-1315(02)00099-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867938189&doi=10.1016%2fS0360-1315%2802%2900099-4&partnerID=40&md5=59f5336decfd078841bef93834c972e8","School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; School of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile","Rosas, R., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Nussbaum, M., School of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Cumsille, P., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Marianov, V., School of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Correa, M., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Flores, P., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Grau, V., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Lagos, F., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; López, X., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; López, V., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile; Rodriguez, P., School of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Salinas, M., School of Psychology, Pontificia Universidad Católica de Chile, Santiago, Chile","The main objective of this study was to evaluate the effects of the introduction of educational videogames into the classroom, on learning, motivation, and classroom dynamics. These effects were studied using a sample of 1274 students from economically disadvantaged schools in Chile. The videogames were specifically designed to address the educational goals of the first and second years of school, for basic mathematics and reading comprehension. The sample was divided into experimental groups (EG), internal control groups (IC) and external control groups (EC). Students in the EG groups, used the experimental video games during an average of 30 h over a 3-month period. They were evaluated on their acquisition of reading comprehension, spelling, and mathematical skills, and on their motivation to use video games. Teachers' expectations of change due to the use of video games, their technological transfer, and handling of classroom dynamics, were assessed through ad hoc tests and classroom observations. The results show significant differences between the EG and IC groups in relation to the EC group in Math, Reading Comprehension and Spelling, but no significant differences in these aspects were found between the EG and the IC groups. Teacher reports and classroom observations confirm an improvement in motivation to learn, and a positive technological transfer of the experimental tool. Although further studies regarding the effects of learning through videogame use are imperative, positive effects on motivation and classroom dynamics, indicate that the introduction of educational video games can be a useful tool in promoting learning within the classroom. © 2002 Elsevier Science Ltd.",,,"98-1552; 1000520, C-13595; Fondo Nacional de Desarrollo Científico y Tecnológico, FONDECYT: 1980573","The study presented in this article forms part and was financed by the following research and development projects: FONDEF D9611016, FONDECYT 1980573, FONTEC 98-1552, Fundación Andes C-13595 and FONDECYT 1000520. We would like to thank Ellen Helsper for her revision of the English version of the paper.",,,,,,,,,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84867938189
"Wells G., Arauz R.M.","14064276600;8723503600;","Dialogue in the classroom",2006,"Journal of the Learning Sciences","15","3",,"379","428",,273,"10.1207/s15327809jls1503_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747045219&doi=10.1207%2fs15327809jls1503_3&partnerID=40&md5=2042c4c3b1b8ae1d148073b1a916479a","Department of Education, University of California, Santa Cruz, United States; ITESO, Mexico; Department of Education, University of California, Santa Cruz, 1156 High St., Santa Cruz 95064, United States","Wells, G., Department of Education, University of California, Santa Cruz, United States, Department of Education, University of California, Santa Cruz, 1156 High St., Santa Cruz 95064, United States; Arauz, R.M., ITESO, Mexico","There is increasing agreement among those who study classrooms that learning is likely to be most effective when students are actively involved in the dialogic coconstruction of meaning about topics that are of significance to them. This article reports the results of an extended collaborative action research project in which teachers attempted to create the conditions for such dialogue by adopting an inquiry approach to the curriculum. A quantitative comparison between observations made early and late in the teachers' involvement in the project showed a number of significant changes in the characteristics of teacher-whole-class discourse, with a shift toward a more dialogic mode of interaction. Nevertheless, the initiation-response-follow-up (IRF) genre continued to be pervasive. Despite this, when the same observations were examined qualitatively, there was clear evidence of an increase over time in the teachers' adoption of a ""dialogic stance."" The article concludes with a consideration of the relationship between the choice of discourse formats and the enactment of a dialogic stance. Copyright © 2006, Lawrence Erlbaum Associates, Inc.",,,,,,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-33747045219
"Boehner K., DePaula R., Dourish P., Sengers P.","6506466924;55664588300;7003544364;22836146000;","How emotion is made and measured",2007,"International Journal of Human Computer Studies","65","4",,"275","291",,246,"10.1016/j.ijhcs.2006.11.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846794640&doi=10.1016%2fj.ijhcs.2006.11.016&partnerID=40&md5=c3a860019af4b72f9fd4a3fbbd7c8b8e","Cornell Information Science, Cornell University, 301 College Avenue, Ithaca, NY 14850, United States; Intel, Research, Av. Dr. Chucri Zaidan 940, 10 floor, São Paulo, 04583-110, Brazil; Department of Informatics, UC Irvine, Irvine, CA 92697-3440, United States","Boehner, K., Cornell Information Science, Cornell University, 301 College Avenue, Ithaca, NY 14850, United States; DePaula, R., Intel, Research, Av. Dr. Chucri Zaidan 940, 10 floor, São Paulo, 04583-110, Brazil; Dourish, P., Department of Informatics, UC Irvine, Irvine, CA 92697-3440, United States; Sengers, P., Cornell Information Science, Cornell University, 301 College Avenue, Ithaca, NY 14850, United States","How we design and evaluate for emotions depends crucially on what we take emotions to be. In affective computing, affect is often taken to be another kind of information-discrete units or states internal to an individual that can be transmitted in a loss-free manner from people to computational systems and back. While affective computing explicitly challenges the primacy of rationality in cognitivist accounts of human activity, at a deeper level it often relies on and reproduces the same information-processing model of cognition. Drawing on cultural, social, and interactional critiques of cognition which have arisen in human-computer interaction (HCI), as well as anthropological and historical accounts of emotion, we explore an alternative perspective on emotion as interaction: dynamic, culturally mediated, and socially constructed and experienced. We demonstrate how this model leads to new goals for affective systems-instead of sensing and transmitting emotion, systems should support human users in understanding, interpreting, and experiencing emotion in its full complexity and ambiguity. In developing from emotion as objective, externally measurable unit to emotion as experience, evaluation, too, alters focus from externally tracking the circulation of emotional information to co-interpreting emotions as they are made in interaction. © 2006 Elsevier Ltd. All rights reserved.","Affective computing; Affective evaluation","Cognitive systems; Computation theory; Data processing; Human computer interaction; Mathematical models; Affective computing; Affective evaluation; Measurable unit; Behavioral research","National Science Foundation, NSF: IIS-0133749, IIS-0205724, IIS-0238132, IIS-0326105, IIS-0534445; Intel Corporation","This work was funded in part by NSF Grants IIS-0133749, IIS-0205724, IIS-0238132, IIS-0326105, and IIS-0534445, and by Intel Corporation. We are grateful for the inspiration and support of many colleagues, including Ken Anderson, Genevieve Bell, Johanna Brewer, Richard Doyle, Maria Fernandez, Brooke Foucault, Bill Gaver, Geri Gay, Kristina Höök, Katherine Isbister, Joseph “Jofish” Kaye, David Klein, Scott Mainwaring, Michael Mateas, Jay Melican, John McCarthy, Yevgeniy “Eugene” Medynskiy, Eunyoung “Elie” Shin, Petra Sundström, Simeon Warner, Elizabeth Wilson, and Peter Wright.",,,,,,,,,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33846794640
"Nussbaum M., Alvarez C., McFarlane A., Gomez F., Claro S., Radovic D.","7102451228;36728934600;14424426900;24559020600;24558630000;55387398200;","Technology as small group face-to-face Collaborative Scaffolding",2009,"Computers and Education","52","1",,"147","153",,141,"10.1016/j.compedu.2008.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56549099814&doi=10.1016%2fj.compedu.2008.07.005&partnerID=40&md5=8705052e3895bf12050327e394396358","Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile; Graduate School of Education, University of Bristol 35, Berkeley Square, Bristol, BS8 1JA, United Kingdom","Nussbaum, M., Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile; Alvarez, C., Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile; McFarlane, A., Graduate School of Education, University of Bristol 35, Berkeley Square, Bristol, BS8 1JA, United Kingdom; Gomez, F., Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile; Claro, S., Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile; Radovic, D., Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Avenida Vicuna Mackenna 4860, Santiago, Chile","There is a wealth of evidence that collaboration between learners can enhance the outcomes for all concerned. This supports the theorization of learning as a socio-cultural practice, framed by Vygotsky and developed by other researchers such as Rogoff, Lave and Wenger. However, there is also evidence that working collaboratively may not be a spontaneous response to working in a group, and that teaching learners how to collaborate, and in particular how to work together to negotiate meaning, is a necessary part of the process of learning collaboratively which can enhance outcomes further. A question for the computer supported collaborative learning community then arises as to whether learning to collaborate can be scaffolded through the use of digital tools, and what such tools might look like. This paper reports on the design of a digital system that aims to support the practice of face-to-face collaboration on open-ended tasks. Findings from trials of the system in classrooms in the UK and Chile show that the model is welcomed both by teachers and pupils, and met its objectives of ensuring greater interaction between class members who did not normally work together, and involvement of all individuals in discussion based activities. © 2008 Elsevier Ltd. All rights reserved.","Cooperative/collaborative learning; Improving classroom teaching; Learning environments; Pedagogical issues; Teaching/learning strategies","Digital arithmetic; Digital devices; Learning systems; School buildings; Teaching; Cooperative/collaborative learning; Improving classroom teaching; Learning environments; Pedagogical issues; Teaching/learning strategies; Education","1060712, 1080100; D04T2036","This work was partially funded by CONICYT-FONDECYT 1060712 and 1080100, CONICYT-FONDEF D04T2036, and supported through a donation from Steljes, a UK education company.",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-56549099814
"Zurita G., Nussbaum M.","13105847600;7102451228;","A conceptual framework based on Activity Theory for mobile CSCL",2007,"British Journal of Educational Technology","38","2",,"211","235",,137,"10.1111/j.1467-8535.2006.00580.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847331696&doi=10.1111%2fj.1467-8535.2006.00580.x&partnerID=40&md5=70b024facf30667f7b19b939764de318","Information System and Management Department, University of Chile, Santiago, Chile; Information Systems and Management Department, Business School, University of Chile, Diagonal Paraguay 257, 833-0015, Santiago, Chile; Technischen Wissenschaften of the Eidgenössische Technische Hochschule (ETH), Zürich, Switzerland; Department of Computer Science, School of Engineering, Catholic University of Chile, Chile; Chilean National Science Foundation (FONDECYT), Chile; Computer Science Department, School of Engineering, Catholic University of Chile, Vicuna Mackena 4860, EI-DCC 143, Santiago, Chile","Zurita, G., Information System and Management Department, University of Chile, Santiago, Chile, Information Systems and Management Department, Business School, University of Chile, Diagonal Paraguay 257, 833-0015, Santiago, Chile; Nussbaum, M., Technischen Wissenschaften of the Eidgenössische Technische Hochschule (ETH), Zürich, Switzerland, Department of Computer Science, School of Engineering, Catholic University of Chile, Chile, Chilean National Science Foundation (FONDECYT), Chile, Computer Science Department, School of Engineering, Catholic University of Chile, Vicuna Mackena 4860, EI-DCC 143, Santiago, Chile","There is a need for collaborative group activities that promote student social interaction in the classroom. Handheld computers interconnected by a wireless network allow people who work on a common task to interact face to face while maintaining the mediation afforded by a technology-based system. Wirelessly interconnected handhelds open up new opportunities for introducing collaboration and thereby changing classroom pedagogical practices. We present a conceptual framework and a method for the design of a mobile computer-supported collaborative learning system based on Activity Theory. An instance of the framework for teaching basic mathematics skills was evaluated with 24 6- and 7-year-old children in a month-long study. Positive effects were observed on student social interaction, motivation and learning. © 2006 British Educational Communications and Technology Agency.",,"Social interaction; Technology-based system; Wireless network; Hand held computers; Learning systems; Motivation; Social aspects; Students; Computer supported cooperative work",,,,,,,,,,,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33847331696
"Greca I.M., Moreira M.A.","6507671836;7103289296;","Mental, Physical, and Mathematical Models in the Teaching and Learning of Physics",2002,"Science Education","86","1",,"106","121",,115,"10.1002/sce.10013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036116586&doi=10.1002%2fsce.10013&partnerID=40&md5=c3c418f2c813987f1d3dfcea0cf1ac5a","Instituto de Física, Fed. University of Rio Grande do Sul, Porto Alegre, Brazil","Greca, I.M., Instituto de Física, Fed. University of Rio Grande do Sul, Porto Alegre, Brazil; Moreira, M.A., Instituto de Física, Fed. University of Rio Grande do Sul, Porto Alegre, Brazil","In this paper, we initially discuss the relationships among physical, mathematical, and mental models in the process of constructing and understanding physical theories. We adopt the assumption that comprehension in a particular field of physics is attained when it is possible to predict a physical phenomenon from its physical models without having to previously refer to the mathematical formalism. The physical models constitute the semantic structure of a physical theory and determine the way the classes of phenomena linked to them should be ""perceived."" Within this framework, the first step in order to understand a phenomenon or a process in physics is to construct mental models that will allow the individual to understand the statements that compose the semantic structure of the theory, being necessary, at the same time, to modify the way of perceiving the phenomena by constructing mental models that will permit him to evaluate as true or false the descriptions the theory makes of them. When this double process is attained concerning a particular phenomenon, in such a way that the ""results"" of the constructed mental models (predictions and explanations) match those scientifically accepted, one can say that the individual has constructed an adequate mental model of the physical model of the theory. Then, in the light of this discussion, we attempt to interpret the research findings we have obtained so far with college students, regarding mental models and physics education under the framework of Johnson-Laird's mental model theory. The difficulties faced by the students to achieve the understanding of physical theories did not seem to be all of the same level: some are linked to the constraints imposed to the construction of mental models by students' previous knowledge and others, linked to the ways individuals perceive the world, seem to be much more problematic. We argue that teaching should focus on them, at least at introductory level, considering the explicit teaching of the modelling process - or at least its systematic practice - as a tool that might be appropriate to facilitate this process. © 2001 John Wiley & Sons, Inc.",,,,,,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-0036116586
"Lopez-Morteo G., López G.","15081359600;7202454539;","Computer support for learning mathematics: A learning environment based on recreational learning objects",2007,"Computers and Education","48","4",,"618","641",,88,"10.1016/j.compedu.2005.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751528771&doi=10.1016%2fj.compedu.2005.04.014&partnerID=40&md5=6f8bddf24ebb6d60d8a16614398deec3","Computer Science Department, CICESE, Km. 107, Carretera Tijuana-Ensenada, 22860 Ensenada, Baja California, Mexico","Lopez-Morteo, G., Computer Science Department, CICESE, Km. 107, Carretera Tijuana-Ensenada, 22860 Ensenada, Baja California, Mexico; López, G., Computer Science Department, CICESE, Km. 107, Carretera Tijuana-Ensenada, 22860 Ensenada, Baja California, Mexico","In this paper, we introduce an electronic collaborative learning environment based on Interactive Instructors of Recreational Mathematics (IIRM), establishing an alternative approach for motivating students towards mathematics. The IIRM are educational software components, specializing in mathematical concepts, presented through recreational mathematics, conceived as interactive, recreation-oriented learning objects, integrated within the environment. We present the architecture of the learning environment which integrates communication services that support the interaction processes of the learning community, through instant messaging, chat rooms, and multi-player math games. Through the environment's interface of their personal workspace, students have access to several easy-to-use mechanisms that allows them to customize its content, its layout, and its appearance. At internal levels, the functionality of IIRM is enhanced with features supported by the environment infrastructure. We evaluated different aspects of the learning environment in three short, motivation-oriented math courses given to Mexican high-school students. The results indicate that the use of the IIRM-based electronic learning environment, positively affects student attitudes towards mathematics. We believe that this approach has the potential to promote the mathematics learning process, basically on its motivational aspects. © 2005 Elsevier Ltd. All rights reserved.","Architectures for educational technology system; Cooperative/collaborative learning; Distributed learning environments; Interactive learning environments; Multimedia/hypermedia systems","Computer architecture; Hypermedia systems; Numerical methods; Students; Collaborative learning; Distributed learning environments; Educational technology system; Interactive learning environments; Learning systems","Consejo Nacional de Ciencia y Tecnología, CONACYT: 69532","This work was sponsored, in part, by the Consejo Nacional de Ciencia y Tecnología (registration number 69532). The authors would like to thank Andrea Spears for her valuable comments on the paper.",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-33751528771
"Roschelle J., Rafanan K., Bhanot R., Estrella G., Penuel B., Nussbaum M., Claro S.","6603548311;35096441700;13408106400;35096015900;36128878000;7102451228;24558630000;","Scaffolding group explanation and feedback with handheld technology: Impact on students' mathematics learning",2010,"Educational Technology Research and Development","58","4",,"399","419",,73,"10.1007/s11423-009-9142-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953650061&doi=10.1007%2fs11423-009-9142-9&partnerID=40&md5=163a5b0be67733cc2d4f1b32e4603a17","SRI International, Menlo Park, CA, United States; Pontificia Universidad Católica, Santiago, Chile","Roschelle, J., SRI International, Menlo Park, CA, United States; Rafanan, K., SRI International, Menlo Park, CA, United States; Bhanot, R., SRI International, Menlo Park, CA, United States; Estrella, G., SRI International, Menlo Park, CA, United States; Penuel, B., SRI International, Menlo Park, CA, United States; Nussbaum, M., Pontificia Universidad Católica, Santiago, Chile; Claro, S., Pontificia Universidad Católica, Santiago, Chile","Based on strong research literatures, we conjectured that social processing of feedback by cooperating in a small group setting-with social incentives to ask questions, give explanations and discuss disagreements-would increase learning. We compared group and individual feedback, using two technologies: (1) Technology-mediated, Peer-Assisted Learning (TechPALS), which uses wireless handheld technology to structure feedback in small groups as they solve fractions problems and (2) a popular desktop product, which provides feedback to individual students as they solve fractions problems individually. Three elementary schools participated in a randomized controlled experiment conducted in the 2007-2008 school year. Students in the TechPALS condition learned more than did the control group students, with effect sizes ranging from d = 0.14 to d = 0.44. Analysis of observational data confirmed that students in the TechPALS condition participated socially in questioning, explaining, and discussing disagreements, whereas students in the individual condition did not. We conclude that an integration of technology, cooperative activity designs and broader educational practices can lead to impact on students' mathematics learning. © 2009 Association for Educational Communications and Technology.","Cooperative learning; Feedback; Fractions; Group feedback; Handheld computers; Mathematics; Wireless networking",,"D04T2036; U.S. Department of Education, ED; Institute of Education Sciences, IES; Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica, FONDECYT: 1080100","Acknowledgements The research reported here was supported by the Institute of Education Sciences, U.S. Department of Education. The opinions expressed are those of the authors and do not represent views of the U.S. Department of Education. We are grateful to the teachers, students, and school leaders who participated in this project. We also thank Hewlett-Packard for providing vital support, through its Global Philanthropy program, with a generous donation of over 100 iPAQ Pocket PCs. Eduinnova’s work to support the TechPALS project was supported by grants (CONICYT-FONDEF D04T2036 and FONDECYT 1080100) from the Chilean government.",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-77953650061
"Echeverría A., García-Campo C., Nussbaum M., Gil F., Villalta M., Améstica M., Echeverría S.","54983894700;36844004600;7102451228;36844082700;23394270300;36843682800;57200757855;","A framework for the design and integration of collaborative classroom games",2011,"Computers and Education","57","1",,"1127","1136",,67,"10.1016/j.compedu.2010.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78951468956&doi=10.1016%2fj.compedu.2010.12.010&partnerID=40&md5=c274665cb47b95d657d77d0c198a67bd","Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile","Echeverría, A., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; García-Campo, C., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; Nussbaum, M., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; Gil, F., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; Villalta, M., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; Améstica, M., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile; Echeverría, S., Pontificia Universidad Católica de Chile, Department of Computer Science, Vicuña Mackenna 4860 (143), Santiago 7820436, Chile","The progress registered in the use of video games as educational tools has not yet been successfully transferred to the classroom. In an attempt to close this gap, a framework was developed that assists in the design and classroom integration of educational games. The framework addresses both the educational dimension and the ludic dimension. The educational dimension employs Bloom's revised taxonomy to define learning objectives and applies the classroom multiplayer presential game (CMPG) pedagogical model while the ludic dimension determines the gaming elements subject to constraints imposed by the educational dimension. With a view to validating the framework, a game for teaching electrostatics was designed and experimentally implemented in a classroom context. An evaluation based on pre/post testing found that the game increased the average number of correct answers by students participating in the experiment from 6.11 to 10.00, a result found to be statistically significant. Thus validated, the framework offers a promising basis for further exploration through the development of other games and fine-tuning of its components. © 2011 Elsevier Ltd. All rights reserved.","Cooperative/collaborative learning; Improving classroom teaching; Interactive learning environments","Average numbers; Cooperative/collaborative learning; Educational game; Educational tools; Improving classroom teaching; Interactive learning environment; Learning objectives; Multiplayers; Pedagogical model; Use of video; Distributed computer systems; Human computer interaction; Learning systems; School buildings; Teaching","Microsoft Research, MSR; Comisión Nacional de Investigación Científica y Tecnológica, CONICYT","Research supported by the Center for Research on Educational Policy and Practice , Grant CIE01 - CONICYT , Games for Learning Institute , and Microsoft Research .",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-78951468956
"Uhden O., Karam R., Pietrocola M., Pospiech G.","57499134200;53463788800;35796172100;36662694200;","Modelling Mathematical Reasoning in Physics Education",2012,"Science and Education","21","4",,"485","506",,66,"10.1007/s11191-011-9396-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858293998&doi=10.1007%2fs11191-011-9396-6&partnerID=40&md5=d7bbbcecf14b6211bc6bc0ad83052589","Chair of Didactics of Physics, Technische Universität, Dresden, Germany; School of Education, University of São Paulo, São Paulo, Brazil","Uhden, O., Chair of Didactics of Physics, Technische Universität, Dresden, Germany; Karam, R., School of Education, University of São Paulo, São Paulo, Brazil; Pietrocola, M., School of Education, University of São Paulo, São Paulo, Brazil; Pospiech, G., Chair of Didactics of Physics, Technische Universität, Dresden, Germany","Many findings from research as well as reports from teachers describe students' problem solving strategies as manipulation of formulas by rote. The resulting dissatisfaction with quantitative physical textbook problems seems to influence the attitude towards the role of mathematics in physics education in general. Mathematics is often seen as a tool for calculation which hinders a conceptual understanding of physical principles. However, the role of mathematics cannot be reduced to this technical aspect. Hence, instead of putting mathematics away we delve into the nature of physical science to reveal the strong conceptual relationship between mathematics and physics. Moreover, we suggest that, for both prospective teaching and further research, a focus on deeply exploring such interdependency can significantly improve the understanding of physics. To provide a suitable basis, we develop a new model which can be used for analysing different levels of mathematical reasoning within physics. It is also a guideline for shifting the attention from technical to structural mathematical skills while teaching physics. We demonstrate its applicability for analysing physical-mathematical reasoning processes with an example. © 2011 Springer Science+Business Media B.V.",,,"Deutscher Akademischer Austauschdienst, DAAD; Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; European Social Fund, ESF; Freistaat Sachsen","Acknowledgments We would like to thank Ulrike Böhm for fruitful discussions, Edward Redish for his valuable remarks, as well as Brian Danielak and Eric Kuo for their help concerning language issues. We also thank the reviewers for their relevant and constructive comments. This research is financially supported by the European Social Fund (ESF), the Free State of Saxony, the Coordination for the Improvement of Higher Level Personnel (CAPES), the São Paulo Research Foundation (FAPESP) and the German Academic Exchange Service (DAAD).",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-84858293998
