,Palabra,Palabras Clave,Resumen,Título
0,mathemat,460,1138,761
1,student,89,1051,362
2,teacher,271,652,319
3,studi,72,976,133
4,learn,235,669,254
5,educ,268,582,164
6,develop,87,650,133
7,teach,163,540,148
8,research,53,662,59
9,school,86,507,128
10,knowledg,159,367,111
11,understand,33,460,123
12,problem,102,384,120
13,classroom,68,374,114
14,analysi,63,434,52
15,concept,52,376,118
16,result,1,532,6
17,practic,98,349,89
18,differ,7,479,34
19,scienc,96,309,109
20,discuss,10,476,16
21,model,78,323,95
22,instruct,58,307,73
23,present,2,399,4
24,data,9,379,14
25,process,26,333,39
26,reason,88,234,75
27,think,74,242,77
28,examin,1,362,20
29,effect,15,290,72
30,group,8,349,16
31,relat,8,327,30
32,activ,27,307,28
33,solv,69,224,67
34,approach,20,283,46
35,task,38,266,41
36,design,33,273,34
37,articl,1,333,1
38,gener,20,277,36
39,experi,22,278,29
40,conceptu,56,217,53
41,base,6,301,17
42,theori,83,204,32
43,context,12,259,45
44,support,5,267,35
45,cognit,70,202,33
46,particip,11,272,13
47,work,9,272,15
48,secondari,59,187,45
49,role,16,231,44
50,achiev,49,189,49
51,framework,10,234,41
52,grade,35,216,31
53,method,47,213,22
54,level,13,246,21
55,elementari,69,153,56
56,media,4,269,4
57,construct,4,231,40
58,report,4,264,5
59,number,32,210,31
60,assess,49,190,34
61,children,33,165,73
62,three,2,263,5
63,strategi,53,182,34
64,academ,10,249,10
65,case,12,181,69
66,algebra,64,133,65
67,curriculum,59,163,38
68,interview,7,249,3
69,relationship,8,211,35
70,explor,4,218,31
71,make,6,214,30
72,implic,5,229,13
73,theoret,3,224,18
74,technolog,55,155,35
75,test,11,221,9
76,chang,26,176,38
77,interact,38,168,34
78,profession,64,141,33
79,cours,7,204,24
80,perform,19,179,35
81,content,44,160,26
82,issu,38,177,15
83,structur,18,177,35
84,represent,56,129,43
85,natur,13,188,26
86,belief,51,125,51
87,situat,22,186,19
88,year,7,202,17
89,perspect,8,155,52
90,first,5,191,18
91,function,35,135,44
92,high,19,155,39
93,mean,11,179,21
94,analyz,1,199,10
95,inform,18,173,19
96,commun,39,150,19
97,question,7,191,9
98,involv,2,194,9
99,view,4,177,23
100,reflect,16,161,26
